Date,.SP500,.OMXC20,.GDAXI
2023-06-23,4348.3307,2011.63,15829.94
2023-06-26,4328.8216,1996.53,15813.06
2023-06-27,4378.4053,1969.13,15846.86
2023-06-28,4376.8637,1995.09,15949.0
2023-06-29,4396.4434,1997.96,15946.72
2023-06-30,4450.3813,2040.33,16147.9
2023-07-03,4455.5939,2024.73,16081.04
2023-07-04,,2028.82,16039.17
2023-07-05,4446.8248,2035.54,15937.58
2023-07-06,4411.5907,2006.6,15528.54
2023-07-07,4398.9527,1998.34,15603.4
2023-07-10,4409.5258,1983.38,15673.16
2023-07-11,4439.2563,1962.58,15790.34
2023-07-12,4472.1603,1970.02,16023.0
2023-07-13,4510.0418,1990.12,16141.03
2023-07-14,4505.4203,2006.23,16105.07
2023-07-17,4522.7931,2015.49,16068.65
2023-07-18,4554.9769,2016.8,16125.49
2023-07-19,4565.7167,2018.18,16108.93
2023-07-20,4534.8676,2057.89,16204.22
2023-07-21,4536.3385,2064.11,16177.22
2023-07-24,4554.6424,2051.36,16190.95
2023-07-25,4567.4637,2042.82,16211.59
2023-07-26,4566.7517,2004.89,16131.46
2023-07-27,4537.4119,2014.11,16406.03
2023-07-28,4582.2313,1991.29,16469.75
2023-07-31,4588.9611,2030.75,16446.83
2023-08-01,4576.7292,2031.18,16240.4
2023-08-02,4513.3939,2004.42,16020.02
2023-08-03,4501.8857,1987.66,15893.38
2023-08-04,4478.0338,1970.75,15951.86
2023-08-07,4518.4434,2001.94,15950.76
2023-08-08,4499.3773,2189.22,15774.93
2023-08-09,4467.7141,2173.2,15852.58
2023-08-10,4468.8348,2157.36,15996.52
2023-08-11,4464.0546,2139.22,15832.17
2023-08-14,4489.7183,2134.92,15904.25
2023-08-15,4437.859,2133.99,15767.28
2023-08-16,4404.3335,2157.51,15789.45
2023-08-17,4370.3601,2151.86,15676.9
2023-08-18,4369.7115,2123.69,15574.26
2023-08-21,4399.7691,2135.3,15603.28
2023-08-22,4387.5487,2148.78,15705.62
2023-08-23,4436.0117,2184.27,15728.41
2023-08-24,4376.3149,2176.2,15621.49
2023-08-25,4405.7057,2160.09,15631.82
2023-08-28,4433.3056,2185.2,15792.61
2023-08-29,4497.6317,2193.69,15930.88
2023-08-30,4514.8653,2159.76,15891.93
2023-08-31,4507.6618,2136.82,15947.08
2023-09-01,4515.7674,2170.48,15840.34
2023-09-04,,2179.05,15824.85
2023-09-05,4496.8273,2178.73,15771.71
2023-09-06,4465.4848,2177.63,15741.37
2023-09-07,4451.138,2194.67,15718.66
2023-09-08,4457.4893,2198.9,15744.75
2023-09-11,4487.4639,2210.07,15800.99
2023-09-12,4461.9049,2198.63,15715.53
2023-09-13,4467.4419,2185.94,15654.03
2023-09-14,4505.0963,2226.84,15805.29
2023-09-15,4450.3163,2190.72,15893.53
2023-09-18,4453.5338,2153.74,15727.12
2023-09-19,4443.9475,2141.79,15664.48
2023-09-20,4402.2035,2185.94,15781.59
2023-09-21,4330.0049,2135.6,15571.86
2023-09-22,4320.0571,2129.09,15557.29
2023-09-25,4337.445,2111.27,15405.49
2023-09-26,4273.5283,2130.97,15255.87
2023-09-27,4274.5094,2123.8,15217.45
2023-09-28,4299.702,2133.46,15323.5
2023-09-29,4288.0541,2124.5,15386.58
2023-10-02,4288.3907,2090.78,15247.21
2023-10-03,4229.453,2059.59,15085.21
2023-10-04,4263.7511,2074.61,15099.92
2023-10-05,4258.1858,2088.6,15070.22
2023-10-06,4308.5023,2112.55,15229.77
2023-10-09,4335.6575,2099.51,15128.11
2023-10-10,4358.2379,2137.11,15423.52
2023-10-11,4376.9452,2194.18,15460.01
2023-10-12,4349.6058,2243.88,15425.03
2023-10-13,4327.783,2247.27,15186.66
2023-10-16,4373.6348,2220.07,15237.99
2023-10-17,4373.196,2228.14,15251.69
2023-10-18,4314.6007,2209.48,15094.91
2023-10-19,4277.9974,2139.76,15045.23
2023-10-20,4224.1595,2127.92,14798.47
2023-10-23,4217.0434,2132.5,14800.72
2023-10-24,4247.6768,2135.13,14879.94
2023-10-25,4186.7652,2139.75,14892.18
2023-10-26,4137.2308,2115.04,14731.05
2023-10-27,4117.3738,2088.04,14687.41
2023-10-30,4166.8151,2123.42,14716.54
2023-10-31,4193.801,2132.51,14810.34
2023-11-01,4237.856,2149.64,14923.27
